# route sweep — 2026-07-28T19:47:47Z
# api=https://api.stellarindex.io/v1

STATUS VERDICT  ROUTE
200    ok       /healthz
200    ok       /readyz
200    ok       /version
200    ok       /status
200    ok       /status/notices
200    ok       /assets
200    ok       /external/assets
404    CLIENT   /external/assets/usdc
200    ok       /assets/verified
200    ok       /assets/USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN
200    ok       /assets/USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN/metadata
503    FAIL     /assets/USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN/supply
503    FAIL     /assets/USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN/holders
400    CLIENT   /price
400    CLIENT   /price/at
400    CLIENT   /price/changes
400    CLIENT   /price/tip
400    CLIENT   /price/tip/stream
400    CLIENT   /price/batch
400    CLIENT   /observations
400    CLIENT   /observations/stream
400    CLIENT   /price/stream
400    CLIENT   /history
400    CLIENT   /history/since-inception
400    CLIENT   /chart
400    CLIENT   /ohlc
400    CLIENT   /vwap
400    CLIENT   /twap
400    CLIENT   /oracle/latest
200    ok       /pools
503    FAIL     /pools/reserves
503    FAIL     /liquidity-pools
200    ok       /lending/pools
503    FAIL     /lending/pools/CBZ7M5B3Y4WWBZ5XK5UZCAFOEZ23KSSZXYECYX3IXM6E2JOLQC52DK32/reserves
200    ok       /mev
200    ok       /anomalies
200    ok       /divergence
200    ok       /oracle/streams
200    ok       /markets
400    CLIENT   /markets/sources
200    ok       /issuers
404    CLIENT   /issuers/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L
200    ok       /contracts/CBZ7M5B3Y4WWBZ5XK5UZCAFOEZ23KSSZXYECYX3IXM6E2JOLQC52DK32/transfers
400    CLIENT   /changes/account/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L
200    ok       /diagnostics/cursors
200    ok       /diagnostics/ingestion
200    ok       /diagnostics/archive
200    ok       /incidents
200    ok       /incidents.atom
200    ok       /coverage
200    ok       /protocols
200    ok       /protocols/soroswap
200    ok       /ledger/tip
200    ok       /ledger/stream
200    ok       /network/stats
503    FAIL     /network/throughput
200    ok       /methodology
200    ok       /sources
200    ok       /sources/soroswap/health
200    ok       /aggregators
200    ok       /sac-wrappers
400    CLIENT   /pairs
400    CLIENT   /oracle/lastprice
400    CLIENT   /oracle/prices
400    CLIENT   /oracle/x_last_price
401    CLIENT   /account/me
401    CLIENT   /account/usage
401    CLIENT   /account/keys
401    CLIENT   /admin/accounts/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L
401    CLIENT   /admin/status-notices
400    CLIENT   /signup/verify
401    CLIENT   /dashboard/keys
401    CLIENT   /dashboard/webhooks
401    CLIENT   /dashboard/webhooks/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L/deliveries
401    CLIENT   /dashboard/price-alerts
400    CLIENT   /auth/callback
400    CLIENT   /auth/sep10/challenge
503    FAIL     /ledgers
503    FAIL     /ledgers/63670000
503    FAIL     /ledgers/63670000/transactions
503    FAIL     /tx/28e04707f14aa2082a1dc66dcaf73be9107bc3b27bd3dd3281fb4de424793360
503    FAIL     /operations
503    FAIL     /contracts
503    FAIL     /contracts/CBZ7M5B3Y4WWBZ5XK5UZCAFOEZ23KSSZXYECYX3IXM6E2JOLQC52DK32
503    FAIL     /contracts/CBZ7M5B3Y4WWBZ5XK5UZCAFOEZ23KSSZXYECYX3IXM6E2JOLQC52DK32/wasm
503    FAIL     /contracts/CBZ7M5B3Y4WWBZ5XK5UZCAFOEZ23KSSZXYECYX3IXM6E2JOLQC52DK32/interactions
503    FAIL     /contracts/CBZ7M5B3Y4WWBZ5XK5UZCAFOEZ23KSSZXYECYX3IXM6E2JOLQC52DK32/code-history
503    FAIL     /accounts
503    FAIL     /accounts/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L
503    FAIL     /accounts/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L/transactions
503    FAIL     /accounts/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L/operations
503    FAIL     /accounts/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L/movements
200    ok       /accounts/GA3GJGKCUKPOPL6NYPMSBK7LMFYNW7SJMAJ7ZGWR3KGSHJWJHQRQZA3L/positions
400    CLIENT   /search

ok=36 client_4xx=37 server_5xx=21 skipped=0
